vorp_rank,player,pos,team,ecr,ratio,proj_pts,proj_sd,vorp,replacement,bye,age
32,DeVonta Smith,WR,PHI,22.72,1.0939890423943506,266.20850618332696,72.9354019656953,69.0975297169575,197.11097646636944,10.0,27.811088295687885
33,Jeremiyah Love,RB,ARI,40.1,1.113193341318489,262.54542271813733,83.3839635178807,68.3649982249629,194.18042449317443,14.0,21.267624914442163
34,Houston Texans,DST,HOU,153.67,,180.01666666666665,30.0,66.44999999999999,113.56666666666666,8.0,
35,Malik Nabers,WR,NYG,24.25,1.0914758192052854,263.2047027292399,72.62399286661781,66.09372626287043,197.11097646636944,8.0,23.110198494182068
36,Zay Flowers,WR,BAL,29.64,1.106977572235812,261.0096777811999,72.39783052910276,63.89870131483045,197.11097646636944,13.0,25.984941820670773
37,Rashee Rice,WR,KC,27.1,1.0896225102532522,259.3709115922044,72.22975975991258,62.25993512583492,197.11097646636944,5.0,26.37371663244353
38,Javonte Williams,RB,DAL,43.43,1.1047548521012327,253.32719000306565,82.5880741314738,59.146765509891225,194.18042449317443,14.0,26.36550308008213
39,Travis Etienne Jr.,RB,NO,45.04,1.115384655724267,252.75536258681055,82.53939256776293,58.57493809363615,194.18042449317443,8.0,27.61122518822724
40,Colston Loveland,TE,CHI,36.28,1.0728117026341606,215.5409135439752,54.639306117841485,57.84913119078311,157.6917823531921,10.0,22.409308692676248
41,Denver Broncos,DST,DEN,164.44,,170.08333333333334,30.0,56.51666666666668,113.56666666666666,10.0,55.92607802874743
42,Garrett Wilson,WR,NYJ,30.28,1.090434921628703,253.32867104697897,71.61589957231871,56.2176945806095,197.11097646636944,13.0,26.12457221081451
43,D'Andre Swift,RB,CHI,52.39,1.1223515992848363,248.77994810102464,82.20320975369319,54.599523607850216,194.18042449317443,10.0,27.644079397672822
44,Ladd McConkey,WR,LAC,33.83,1.0940625531953998,250.0295912096481,71.28466065989407,52.918614743278624,197.11097646636944,7.0,24.84599589322382
45,Bucky Irving,RB,TB,56.3,1.1246831075174892,245.25222000473943,81.90821859069744,51.071795511565,194.18042449317443,10.0,24.04928131416838
46,Brandon Aubrey,K,DAL,185.55,,187.66666666666663,24.0,51.0,136.66666666666666,14.0,31.48254620123204
47,Jaylen Waddle,WR,DEN,33.99,1.10032311805117,248.06212757676224,71.08846324774329,50.9511511103928,197.11097646636944,10.0,27.78097193702943
48,Tyler Warren,TE,IND,53.36,1.0602865186481665,206.8289326087832,53.604206606945375,49.13715025559105,157.6917823531921,13.0,24.28747433264887
49,Tetairoa McMillan,WR,CAR,35.88,1.0880886121563849,244.24159370246144,70.7103779883344,47.13061723609198,197.11097646636944,5.0,23.42231348391513
50,Tee Higgins,WR,CIN,36.7,1.0893198911354354,243.17228569223948,70.60525062515524,46.06130922587002,197.11097646636944,6.0,27.633127994524298
51,David Montgomery,RB,HOU,60.31,1.1249226020879164,240.1808162749496,81.48970604835468,46.00039178177519,194.18042449317443,8.0,29.24845995893224
52,Emeka Egbuka,WR,TB,40.74,1.094869268607271,242.86220639607612,70.57482274400586,45.75122992970668,197.11097646636944,10.0,23.89596167008898
53,Luther Burden III,WR,CHI,46.7,1.1034585069611729,241.64538762564288,70.45566597124672,44.53441115927342,197.11097646636944,10.0,22.73511293634497
54,Cam Skattebo,RB,NYG,57.0,1.1065823340774752,238.3666851135809,81.34160664411216,44.18626062040647,194.18042449317443,8.0,24.583162217659137
55,Quinshon Judkins,RB,CLE,60.62,1.136303018623569,238.09269395819967,81.31931322404171,43.91226946502525,194.18042449317443,11.0,22.855578370978783
56,Jayden Daniels,QB,WAS,56.6,1.155251205848622,346.6114072769504,103.94645686056386,43.513739109137134,303.09766816781325,7.0,25.71663244353183
57,Los Angeles Rams,DST,LAR,164.96,,156.83333333333334,30.0,43.26666666666668,113.56666666666666,11.0,
58,Terry McLaurin,WR,WAS,47.68,1.1050552527717434,239.3748886734893,70.23439393678218,42.26391220711983,197.11097646636944,7.0,30.9760438056126
59,Ka'imi Fairbairn,K,HOU,192.36,,178.66666666666666,24.0,42.0,136.66666666666666,8.0,32.602327173169066
60,Jameson Williams,WR,DET,52.92,1.1125486917996412,235.70006234027997,69.87923411644377,38.58908587391048,197.11097646636944,6.0,25.44832306639288
61,Dak Prescott,QB,DAL,77.92,1.2274529315256848,340.6503065943664,103.41144854447003,37.55263842655313,303.09766816781325,14.0,33.106091718001366
62,Davante Adams,WR,LAR,50.83,1.0892757553895986,234.5026091806513,69.76430553873588,37.3916327142818,197.11097646636944,11.0,33.700205338809035
63,Harold Fannin Jr.,TE,CLE,76.23,1.061198244280139,195.04800626698847,52.24222747351784,37.35622391379641,157.6917823531921,11.0,22.13004791238877
64,Seattle Seahawks,DST,SEA,167.18,,150.38333333333333,30.0,36.81666666666666,113.56666666666666,11.0,
65,DJ Moore,WR,BUF,52.35,1.0905169979256857,232.77080095329805,69.5987939815968,35.659824486928585,197.11097646636944,7.0,29.39630390143737
66,Cameron Dicker,K,LAC,194.55,,170.33333333333334,24.0,33.666666666666686,136.66666666666666,7.0,26.33538672142368
67,Justin Herbert,QB,LAC,71.81,1.183261816308678,336.20270785735266,103.01655150056756,33.10503968953941,303.09766816781325,7.0,28.49281314168378
68,Jadarian Price,RB,SEA,67.49,1.113193341318489,226.90776240850136,80.42610601616327,32.72733791532693,194.18042449317443,11.0,22.910335386721425
69,Philadelphia Eagles,DST,PHI,175.18,,145.91666666666666,30.0,32.349999999999994,113.56666666666666,10.0,
70,Bhayshul Tuten,RB,JAC,65.97,1.09612337981824,226.42456010039373,80.38826887478614,32.244135607219306,194.18042449317443,7.0,23.55920602327173
